,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct,year
13846,57394005,04/22/2023 10:22:40 AM,04/25/2023 02:47:32 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11358.0,43-33 UTOPIA PARKWAY,UTOPIA PARKWAY,NORTHERN BOULEVARD,45 AVENUE,NORTHERN BOULEVARD,45 AVENUE,ADDRESS,FLUSHING,UTOPIA PARKWAY,,Closed,,The Department of Sanitation cleaned the location.,04/22/2023 09:46:45 PM,11 QUEENS,4055120020.0,QUEENS,1041628.0,215079.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75683249103087,-73.79289224906874,"(40.75683249103087, -73.79289224906874)",14193.0,26.0,3.0,20.0,69.0,69.0,2023
13886,57380917,04/21/2023 07:44:09 AM,04/21/2023 12:14:24 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10303.0,3346 RICHMOND TERRACE,RICHMOND TERRACE,BETTY COURT,FEDERAL PLACE,BETTY COURT,FEDERAL PLACE,ADDRESS,STATEN ISLAND,RICHMOND TERRACE,,Closed,,The Department of Sanitation cleaned the location.,04/21/2023 11:15:07 AM,01 STATEN ISLAND,5012727501.0,STATEN ISLAND,937074.0,172800.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.64084705686724,-74.16998726109873,"(40.64084705686724, -74.16998726109873)",10371.0,4.0,1.0,13.0,75.0,75.0,2023
13887,57381069,04/21/2023 07:38:12 AM,04/25/2023 03:05:38 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11692.0,655 BEACH   67 STREET,BEACH   67 STREET,DE COSTA AVENUE,BAYFIELD AVENUE,DE COSTA AVENUE,BAYFIELD AVENUE,ADDRESS,ARVERNE,BEACH   67 STREET,,Closed,,The Department of Sanitation removed the items.,04/24/2023 10:20:13 AM,14 QUEENS,4160280044.0,QUEENS,1040696.0,157380.0,PHONE,Unspecified,QUEENS,,,,,,,,40.5984682532785,-73.79673958112478,"(40.598468253278504, -73.79673958112478)",20530.0,51.0,3.0,47.0,58.0,58.0,2023
13889,57387106,04/21/2023 06:48:19 AM,04/21/2023 12:15:09 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10314.0,135 LIVERMORE AVENUE,LIVERMORE AVENUE,MAINE AVENUE,GARRISON AVENUE,MAINE AVENUE,GARRISON AVENUE,ADDRESS,STATEN ISLAND,LIVERMORE AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/21/2023 11:15:38 AM,01 STATEN ISLAND,5004150009.0,STATEN ISLAND,946006.0,165484.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62080927942876,-74.1377615693729,"(40.620809279428755, -74.1377615693729)",10700.0,4.0,1.0,14.0,75.0,75.0,2023
13899,57375603,04/20/2023 03:05:49 PM,05/02/2023 08:18:08 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10473.0,742 ST LAWRENCE AVENUE,ST LAWRENCE AVENUE,SOUNDVIEW AVENUE,DEAD END,SOUNDVIEW AVENUE,DEAD END,ADDRESS,BRONX,ST LAWRENCE AVENUE,,Closed,,The Department of Sanitation removed the items.,04/21/2023 12:36:22 PM,09 BRONX,2035970032.0,BRONX,1021733.0,238119.0,ONLINE,Unspecified,BRONX,,,,,,,,40.82017775921969,-73.86457518142879,"(40.82017775921969, -73.86457518142879)",11611.0,58.0,5.0,31.0,26.0,26.0,2023
13917,57372020,04/20/2023 08:19:15 AM,04/20/2023 12:19:57 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10301.0,181 LAFAYETTE AVENUE,LAFAYETTE AVENUE,HENDERSON AVENUE,CORTELYOU PLACE,HENDERSON AVENUE,CORTELYOU PLACE,ADDRESS,STATEN ISLAND,LAFAYETTE AVENUE,,Closed,,The Department of Sanitation removed the items.,04/20/2023 10:53:54 AM,01 STATEN ISLAND,5000640083.0,STATEN ISLAND,958058.0,172620.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.64043990743038,-74.09437589543943,"(40.64043990743038, -74.09437589543943)",10369.0,4.0,1.0,13.0,74.0,74.0,2023
13919,57370136,04/20/2023 07:39:32 AM,04/20/2023 02:39:57 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10466.0,4047 HARPER AVENUE,HARPER AVENUE,EAST  233 STREET,BX-WESTCHESTER CNTY BOUNDARY,EAST  233 STREET,BX-WESTCHESTER CNTY BOUNDARY,ADDRESS,BRONX,HARPER AVENUE,,Closed,,The Department of Sanitation removed the items.,04/20/2023 09:12:31 AM,12 BRONX,2049660048.0,BRONX,1030481.0,264321.0,PHONE,Unspecified,BRONX,,,,,,,,40.89205283225856,-73.83278831440377,"(40.89205283225856, -73.83278831440377)",11275.0,29.0,5.0,2.0,30.0,30.0,2023
13922,57366178,04/19/2023 11:01:56 PM,04/20/2023 11:03:05 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11214.0,2652 CROPSEY AVENUE,CROPSEY AVENUE,BAY   44 STREET,27 AVENUE,BAY   44 STREET,27 AVENUE,ADDRESS,BROOKLYN,CROPSEY AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/20/2023 09:29:51 AM,13 BROOKLYN,3069350001.0,BROOKLYN,986914.0,153853.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.5889666998082,-73.99040838629429,"(40.5889666998082, -73.99040838629429)",17616.0,21.0,2.0,44.0,35.0,35.0,2023
13926,57358574,04/19/2023 09:17:16 PM,04/20/2023 02:37:31 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10466.0,4317 ELY AVENUE,ELY AVENUE,PITMAN AVENUE,NEREID AVENUE,PITMAN AVENUE,NEREID AVENUE,ADDRESS,BRONX,ELY AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/20/2023 07:40:17 AM,12 BRONX,2050530087.0,BRONX,1026269.0,266036.0,ONLINE,Unspecified,BRONX,,,,,,,,40.89678101737816,-73.84801179151772,"(40.89678101737816, -73.84801179151772)",11275.0,29.0,5.0,2.0,30.0,30.0,2023
13956,57366174,04/19/2023 07:51:05 AM,04/20/2023 02:39:56 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10466.0,4047 HARPER AVENUE,HARPER AVENUE,EAST  233 STREET,BX-WESTCHESTER CNTY BOUNDARY,EAST  233 STREET,BX-WESTCHESTER CNTY BOUNDARY,ADDRESS,BRONX,HARPER AVENUE,,Closed,,The Department of Sanitation removed the items.,04/20/2023 09:12:27 AM,12 BRONX,2049660048.0,BRONX,1030481.0,264321.0,PHONE,Unspecified,BRONX,,,,,,,,40.89205283225856,-73.83278831440377,"(40.89205283225856, -73.83278831440377)",11275.0,29.0,5.0,2.0,30.0,30.0,2023
13960,57359386,04/19/2023 07:34:07 AM,04/19/2023 03:08:02 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11208.0,777 LIBERTY AVENUE,LIBERTY AVENUE,SHEPHERD AVENUE,BERRIMAN STREET,SHEPHERD AVENUE,BERRIMAN STREET,ADDRESS,BROOKLYN,LIBERTY AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/19/2023 11:50:00 AM,05 BROOKLYN,3039730061.0,BROOKLYN,1017258.0,185841.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67670583360381,-73.88099977483945,"(40.67670583360381, -73.88099977483945)",17215.0,45.0,2.0,37.0,47.0,47.0,2023
13974,57352360,04/18/2023 09:38:14 AM,04/20/2023 11:31:01 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11219.0,917 55 STREET,55 STREET,9 AVENUE,FORT HAMILTON PARKWAY,9 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,55 STREET,,Closed,,The Department of Sanitation cleaned the location.,04/19/2023 07:50:40 AM,12 BROOKLYN,3056730082.0,BROOKLYN,983204.0,171208.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.636602934636585,-74.00376876494597,"(40.636602934636585, -74.00376876494597)",17621.0,2.0,2.0,7.0,39.0,39.0,2023
13976,57357875,04/18/2023 09:25:10 AM,04/19/2023 10:48:22 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10456.0,1382 CROTONA AVENUE,CROTONA AVENUE,BOSTON ROAD,EAST  170 STREET,BOSTON ROAD,EAST  170 STREET,ADDRESS,BRONX,CROTONA AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/19/2023 02:30:55 AM,03 BRONX,2029370001.0,BRONX,1012469.0,242780.0,PHONE,Unspecified,BRONX,,,,,,,,40.83300531973671,-73.89802606285322,"(40.83300531973671, -73.89802606285322)",10934.0,34.0,5.0,42.0,25.0,25.0,2023
13997,57342454,04/17/2023 08:37:27 AM,04/19/2023 11:39:29 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11421.0,94-41 86 ROAD,86 ROAD,94 STREET,96 STREET,94 STREET,96 STREET,ADDRESS,WOODHAVEN,86 ROAD,,Closed,,The Department of Sanitation removed the items.,04/18/2023 05:07:46 AM,09 QUEENS,4088840027.0,QUEENS,1025735.0,192546.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69507383025972,-73.85039731991941,"(40.695073830259716, -73.85039731991941)",24017.0,46.0,3.0,41.0,60.0,60.0,2023
14006,57331935,04/16/2023 09:07:20 PM,04/19/2023 11:38:00 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11419.0,94-21 127 STREET,127 STREET,94 AVENUE,95 AVENUE,94 AVENUE,95 AVENUE,ADDRESS,SOUTH RICHMOND HILL,127 STREET,,Closed,,The Department of Sanitation removed the items.,04/17/2023 05:01:47 AM,09 QUEENS,4094440049.0,QUEENS,1033966.0,192565.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69508356906967,-73.82071472806132,"(40.695083569069666, -73.82071472806132)",24015.0,46.0,3.0,46.0,60.0,60.0,2023
14022,57334505,04/16/2023 03:22:51 PM,04/19/2023 02:10:48 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11691.0,BEACH    6 STREET,BEACH    6 STREET,BEACH    6 STREET,SEAGIRT BOULEVARD,BEACH    6 STREET,SEAGIRT BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,04/19/2023 05:56:46 AM,14 QUEENS,,QUEENS,1056528.0,157171.0,PHONE,Unspecified,QUEENS,,,,,,,,40.59777961785002,-73.73973154040637,"(40.59777961785002, -73.73973154040637)",20529.0,51.0,3.0,47.0,59.0,59.0,2023
14063,57323747,04/15/2023 08:58:10 AM,04/25/2023 02:01:23 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11358.0,45-33 168 STREET,168 STREET,45 AVENUE,46 AVENUE,45 AVENUE,46 AVENUE,ADDRESS,FLUSHING,168 STREET,,Closed,,The Department of Sanitation removed the items.,04/17/2023 12:48:47 PM,07 QUEENS,4054470019.0,QUEENS,1039930.0,214463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75515258840835,-73.79902631456041,"(40.75515258840835, -73.79902631456041)",14193.0,22.0,3.0,20.0,67.0,67.0,2023
14065,57322015,04/15/2023 07:42:38 AM,04/25/2023 02:01:22 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11358.0,45-33 168 STREET,168 STREET,45 AVENUE,46 AVENUE,45 AVENUE,46 AVENUE,ADDRESS,FLUSHING,168 STREET,,Closed,,The Department of Sanitation removed the items.,04/17/2023 12:48:47 PM,07 QUEENS,4054470019.0,QUEENS,1039930.0,214463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75515258840835,-73.79902631456041,"(40.75515258840835, -73.79902631456041)",14193.0,22.0,3.0,20.0,67.0,67.0,2023
14070,57311296,04/14/2023 08:19:23 PM,04/19/2023 12:58:45 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10027.0,450 WEST  131 STREET,WEST  131 STREET,CONVENT AVENUE,AMSTERDAM AVENUE,CONVENT AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  131 STREET,,Closed,,The Department of Sanitation removed the items.,04/19/2023 12:58:38 PM,09 MANHATTAN,1019700016.0,MANHATTAN,997123.0,236608.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81610063576216,-73.95349314957161,"(40.81610063576216, -73.95349314957161)",12424.0,37.0,4.0,36.0,17.0,17.0,2023
14083,57312788,04/14/2023 01:30:53 PM,04/19/2023 02:42:46 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11365.0,195-30D PECK AVENUE,PECK AVENUE,HORACE HARDING EXPRESSWAY,64 AVENUE,HORACE HARDING EXPRESSWAY,64 AVENUE,ADDRESS,FRESH MEADOWS,PECK AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/17/2023 05:20:22 AM,08 QUEENS,4071170300.0,QUEENS,1045291.0,209615.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.741810706099415,-73.77972018172846,"(40.741810706099415, -73.77972018172846)",14507.0,25.0,3.0,16.0,65.0,65.0,2023
14092,57312023,04/14/2023 09:27:31 AM,04/19/2023 12:58:44 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10027.0,450 WEST  131 STREET,WEST  131 STREET,CONVENT AVENUE,AMSTERDAM AVENUE,CONVENT AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  131 STREET,,Closed,,The Department of Sanitation removed the items.,04/15/2023 11:15:21 AM,09 MANHATTAN,1019700016.0,MANHATTAN,997123.0,236608.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81610063576216,-73.95349314957161,"(40.81610063576216, -73.95349314957161)",12424.0,37.0,4.0,36.0,17.0,17.0,2023
14096,57321463,04/14/2023 08:26:34 AM,04/15/2023 01:40:04 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11420.0,130-15 135 AVENUE,135 AVENUE,130 STREET,130 PLACE,130 STREET,130 PLACE,ADDRESS,SOUTH OZONE PARK,135 AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/14/2023 12:43:26 PM,10 QUEENS,4117890003.0,QUEENS,1037153.0,182870.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.668454584413176,-73.80929795355709,"(40.668454584413176, -73.80929795355709)",24016.0,62.0,3.0,46.0,64.0,64.0,2023
14101,57301630,04/14/2023 12:55:14 AM,04/19/2023 11:36:50 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11421.0,88-20 75 STREET,75 STREET,88 AVENUE,88 ROAD,88 AVENUE,88 ROAD,ADDRESS,WOODHAVEN,75 STREET,,Closed,,The Department of Sanitation removed the items.,04/14/2023 05:09:33 AM,09 QUEENS,4088960022.0,QUEENS,1021430.0,190281.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68887606870031,-73.86593443154118,"(40.68887606870031, -73.86593443154118)",24017.0,46.0,3.0,34.0,60.0,60.0,2023
14103,57309629,04/13/2023 10:13:32 PM,04/15/2023 01:35:14 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10466.0,1717 PITMAN AVENUE,PITMAN AVENUE,BARNES AVENUE,DIGNEY AVENUE,BARNES AVENUE,DIGNEY AVENUE,ADDRESS,BRONX,PITMAN AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/14/2023 12:04:18 PM,12 BRONX,2050490021.0,BRONX,1025045.0,265415.0,PHONE,Unspecified,BRONX,,,,,,,,40.89508231677922,-73.85244293457946,"(40.895082316779224, -73.85244293457946)",11275.0,29.0,5.0,2.0,30.0,30.0,2023
14207,57276175,04/10/2023 05:04:14 PM,04/12/2023 03:19:04 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11206.0,LEONARD STREET,LEONARD STREET,LEONARD STREET,MONTROSE AVENUE,LEONARD STREET,MONTROSE AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,04/10/2023 05:04:23 PM,01 BROOKLYN,,BROOKLYN,999077.0,196864.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70701054032948,-73.94652150909403,"(40.70701054032948, -73.94652150909403)",17213.0,36.0,2.0,30.0,56.0,56.0,2023
14211,57277463,04/10/2023 03:30:26 PM,04/11/2023 01:43:44 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10307.0,39 CRAIG AVENUE,CRAIG AVENUE,BETHEL AVENUE,HECKER STREET,BETHEL AVENUE,HECKER STREET,ADDRESS,STATEN ISLAND,CRAIG AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/11/2023 09:52:44 AM,03 STATEN ISLAND,5080120050.0,STATEN ISLAND,918002.0,127452.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5162540984396,-74.23826384436494,"(40.516254098439596, -74.23826384436494)",10694.0,15.0,1.0,9.0,77.0,77.0,2023
14225,57279276,04/10/2023 10:47:30 AM,04/10/2023 01:23:12 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11230.0,1333 EAST    4 STREET,EAST    4 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST    4 STREET,,Closed,,The Department of Sanitation cleaned the location.,04/10/2023 11:26:57 AM,12 BROOKLYN,3065400071.0,BROOKLYN,992120.0,164461.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61808040497162,-73.97165205523598,"(40.61808040497162, -73.97165205523598)",13513.0,2.0,2.0,18.0,39.0,39.0,2023
14229,57274892,04/10/2023 09:46:47 AM,04/14/2023 01:41:46 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11421.0,85 AVENUE,85 AVENUE,85 AVENUE,WOODHAVEN BOULEVARD,85 AVENUE,WOODHAVEN BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,04/11/2023 12:45:32 AM,09 QUEENS,,QUEENS,1025066.0,193190.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69684456893761,-73.85280595222729,"(40.69684456893761, -73.85280595222729)",24017.0,46.0,3.0,41.0,60.0,60.0,2023
14236,57274746,04/10/2023 05:53:03 AM,04/13/2023 02:20:11 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11363.0,43-11 248 STREET,248 STREET,43 AVENUE,NORTHERN BOULEVARD,43 AVENUE,NORTHERN BOULEVARD,ADDRESS,LITTLE NECK,248 STREET,,Closed,,The Department of Sanitation cleaned the location.,04/10/2023 11:13:52 AM,11 QUEENS,4081180069.0,QUEENS,1056276.0,219383.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76853862040343,-73.7399739815545,"(40.768538620403426, -73.7399739815545)",14505.0,26.0,3.0,20.0,69.0,69.0,2023
14258,57268828,04/09/2023 12:47:05 PM,04/11/2023 02:43:07 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11368.0,108-27 50 AVENUE,50 AVENUE,108 STREET,111 STREET,108 STREET,111 STREET,ADDRESS,CORONA,50 AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/10/2023 03:36:48 AM,04 QUEENS,4020050076.0,QUEENS,1024532.0,210699.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.744904929943225,-73.85462691512018,"(40.744904929943225, -73.85462691512018)",14510.0,66.0,3.0,21.0,68.0,68.0,2023
14267,57270267,04/09/2023 10:10:37 AM,04/12/2023 03:19:03 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11206.0,LEONARD STREET,LEONARD STREET,LEONARD STREET,MONTROSE AVENUE,LEONARD STREET,MONTROSE AVENUE,INTERSECTION,,,,Unspecified,,The Department of Sanitation removed the items.,04/09/2023 10:10:46 AM,01 BROOKLYN,,BROOKLYN,999077.0,196864.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70701054032948,-73.94652150909403,"(40.70701054032948, -73.94652150909403)",17213.0,36.0,2.0,30.0,56.0,56.0,2023
14322,57254325,04/07/2023 01:03:38 PM,04/10/2023 08:13:48 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10455.0,679 MELROSE AVENUE,MELROSE AVENUE,EAST  153 STREET,EAST  154 STREET,EAST  153 STREET,EAST  154 STREET,ADDRESS,BRONX,MELROSE AVENUE,,Closed,,The Department of Sanitation cleaned the location.,04/08/2023 09:52:20 AM,01 BRONX,2024000023.0,BRONX,1007416.0,237793.0,PHONE,Unspecified,BRONX,,,,,,,,40.819332130759776,-73.91630310516788,"(40.819332130759776, -73.91630310516788)",10933.0,49.0,5.0,43.0,23.0,23.0,2023
14336,57258293,04/06/2023 07:07:06 PM,04/12/2023 03:19:03 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11206.0,LEONARD STREET,LEONARD STREET,LEONARD STREET,MONTROSE AVENUE,LEONARD STREET,MONTROSE AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,04/07/2023 07:02:35 AM,01 BROOKLYN,,BROOKLYN,999077.0,196864.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70701054032948,-73.94652150909403,"(40.70701054032948, -73.94652150909403)",17213.0,36.0,2.0,30.0,56.0,56.0,2023
14339,57245361,04/06/2023 06:27:08 PM,04/07/2023 01:11:22 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10312.0,413 ANNADALE ROAD,ANNADALE ROAD,UNNAMED STREET,GENESEE AVENUE,UNNAMED STREET,GENESEE AVENUE,ADDRESS,STATEN ISLAND,ANNADALE ROAD,,Closed,,The Department of Sanitation removed the items.,04/07/2023 12:59:02 PM,03 STATEN ISLAND,5056390008.0,STATEN ISLAND,935480.0,140669.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55264549655553,-74.17549888336299,"(40.55264549655553, -74.17549888336299)",10699.0,15.0,1.0,9.0,77.0,77.0,2023
14365,57248159,04/06/2023 08:54:06 AM,04/12/2023 03:19:02 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11206.0,LEONARD STREET,LEONARD STREET,LEONARD STREET,MONTROSE AVENUE,LEONARD STREET,MONTROSE AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,04/07/2023 07:02:27 AM,01 BROOKLYN,,BROOKLYN,999077.0,196864.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70701054032948,-73.94652150909403,"(40.70701054032948, -73.94652150909403)",17213.0,36.0,2.0,30.0,56.0,56.0,2023
14366,57246571,04/06/2023 08:23:29 AM,04/06/2023 12:00:45 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11385.0,78-47 79 PLACE,79 PLACE,78 AVENUE,MYRTLE AVENUE,78 AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,79 PLACE,,Closed,,The Department of Sanitation removed the items.,04/06/2023 11:14:18 AM,05 QUEENS,4038290007.0,QUEENS,1020225.0,195758.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70391412421237,-73.87025022371346,"(40.70391412421237, -73.87025022371346)",15310.0,54.0,3.0,34.0,62.0,62.0,2023
14367,57248347,04/06/2023 08:18:08 AM,04/06/2023 12:07:56 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11385.0,78-45 79 PLACE,79 PLACE,78 AVENUE,MYRTLE AVENUE,78 AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,79 PLACE,,Closed,,The Department of Sanitation removed the items.,04/06/2023 11:50:09 AM,05 QUEENS,4038290008.0,QUEENS,1020221.0,195769.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70394433285497,-73.87026459159476,"(40.70394433285497, -73.87026459159476)",15310.0,54.0,3.0,34.0,62.0,62.0,2023
14369,57250151,04/06/2023 07:49:40 AM,04/06/2023 12:07:55 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11385.0,78-45 79 PLACE,79 PLACE,78 AVENUE,MYRTLE AVENUE,78 AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,79 PLACE,,Closed,,The Department of Sanitation removed the items.,04/06/2023 11:14:54 AM,05 QUEENS,4038290008.0,QUEENS,1020221.0,195769.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70394433285497,-73.87026459159476,"(40.70394433285497, -73.87026459159476)",15310.0,54.0,3.0,34.0,62.0,62.0,2023
14376,57234853,04/05/2023 08:15:24 PM,04/08/2023 02:49:30 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11412.0,195-05 119 AVENUE,119 AVENUE,195 STREET,196 STREET,195 STREET,196 STREET,ADDRESS,SAINT ALBANS,119 AVENUE,,Closed,,The Department of Sanitation removed the items.,04/06/2023 11:46:59 AM,12 QUEENS,4126160033.0,QUEENS,1052078.0,190928.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69047011815023,-73.75541621736981,"(40.69047011815023, -73.75541621736981)",15312.0,41.0,3.0,6.0,71.0,71.0,2023
14416,57231497,04/04/2023 04:54:44 PM,04/05/2023 10:50:53 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10301.0,HILLSIDE AVENUE,HILLSIDE AVENUE,HILLSIDE AVENUE,HOWARD AVENUE,HILLSIDE AVENUE,HOWARD AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,04/04/2023 10:09:31 PM,01 STATEN ISLAND,,STATEN ISLAND,958134.0,164313.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61763918111876,-74.09406990612455,"(40.61763918111876, -74.09406990612455)",10369.0,4.0,1.0,13.0,74.0,74.0,2023
14420,57230258,04/04/2023 02:56:41 PM,04/06/2023 11:22:21 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11421.0,74-30 90 AVENUE,90 AVENUE,74 PLACE,75 STREET,74 PLACE,75 STREET,ADDRESS,WOODHAVEN,90 AVENUE,,Closed,,The Department of Sanitation removed the items.,04/05/2023 03:59:16 AM,09 QUEENS,4089440012.0,QUEENS,1021367.0,189666.0,PHONE,Unspecified,QUEENS,,,,,,,,40.687188301250174,-73.86616498799346,"(40.687188301250174, -73.86616498799346)",24017.0,46.0,3.0,34.0,60.0,60.0,2023
14443,57213409,04/03/2023 02:18:34 PM,04/05/2023 10:55:56 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10305.0,QUINCY AVENUE,QUINCY AVENUE,QUINCY AVENUE,SLATER BOULEVARD,QUINCY AVENUE,SLATER BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,04/04/2023 11:14:57 PM,02 STATEN ISLAND,,STATEN ISLAND,961047.0,149504.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.576999593022606,-74.08352641548532,"(40.576999593022606, -74.08352641548532)",10692.0,30.0,1.0,14.0,76.0,76.0,2023
14444,57214867,04/03/2023 02:10:43 PM,04/05/2023 10:54:38 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10305.0,quincy ave off slater blvd,quincy ave off slater blvd,,,,,,staten island,,,Closed,,The Department of Sanitation removed the items.,04/04/2023 11:17:13 PM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,,,,,,,,2023
